Daerah,Laki-laki,Perempuan,
Lamandau,67.49,71.57,
SERUYAN,67.62,71.43,
Seruyan,67.62,71.43,
KATINGAN,64.06,68.11,
Katingan,64.06,68.11,
PULANG PISAU,66.28,70.34,
Pulang Pisau,66.28,70.34,
GUNUNG MAS,68.56,72.68,
Gunung Mas,68.56,72.68,
BARITO TIMUR,66.47,70.6,
Barito Timur,66.47,70.6,
MURUNG RAYA,67.65,71.74,
Murung Raya,67.65,71.74,
KOTA PALANGKA RAYA,71.42,75.37,
Kota Palangka Raya,71.42,75.37,
KALIMANTAN SELATAN,67.23,71.13,
TANAH LAUT,67.84,71.84,
Tanah Laut,67.84,71.84,
KOTA BARU,67.56,71.5,
Kotabaru,67.56,71.5,
BANJAR,65.72,69.69,
Banjar,65.72,69.69,
BARITO KUALA,64.58,68.47,
Barito Kuala,64.58,68.47,
TAPIN,68.88,72.82,
Tapin,68.88,72.82,
HULU SUNGAI SELATAN,64.53,68.43,
Hulu Sungai Selatan,64.53,68.43,
HULU SUNGAI TENGAH,64.56,68.45,
Hulu Sungai Tengah,64.56,68.45,
HULU SUNGAI UTARA,62.6,66.41,
Hulu Sungai Utara,62.6,66.41,
TABALONG,68.85,72.81,
Tabalong,68.85,72.81,
TANAH BUMBU,68.74,72.64,
Tanah Bumbu,68.74,72.64,
BALANGAN,66.1,70.09,
Balangan,66.1,70.09,
KOTA BANJARMASIN,69.69,73.55,
Kota Banjarmasin,69.69,73.55,
KOTA BANJAR BARU,70.42,74.25,
Kota Banjar Baru,70.42,74.25,
KALIMANTAN TIMUR,72.8,76.52,
PASIR,70.86,74.87,
Paser,70.86,74.87,
KUTAI BARAT,71.13,74.95,
Kutai Barat,71.13,74.95,
KUTAI KARTANEGARA,70.69,74.51,
Kutai Kartanegara,70.69,74.51,
KUTAI TIMUR,71.52,75.33,
Kutai Timur,71.52,75.33,
BERAU,70.34,74.13,
Berau,70.34,74.13,
PENAJAM PASER UTARA,70.05,74.08,
Penajam Paser Utara,70.05,74.08,
MAHAKAM ULU,70.34,74.14,
Mahakam Ulu,70.34,74.14,
KOTA BALIKPAPAN,72.88,76.58,
Kota Balikpapan,72.88,76.58,
KOTA SAMARINDA,72.64,76.23,
Kota Samarinda,72.64,76.23,
KOTA BONTANG,72.64,76.28,
Kota Bontang,72.64,76.28,
KALIMANTAN UTARA,70.7,74.54,
MALINAU,71.3,71.73,
Malinau,71.3,71.73,
BULONGAN,71.71,73.7,
Bulungan,71.71,73.7,
TANA TIDUNG,70.75,71.66,
Tana Tidung,70.75,71.66,
NUNUKAN,70.63,72.23,
Nunukan,70.63,72.23,
KOTA TARAKAN,73.48,74.61,
Kota Tarakan,73.48,74.61,
SULAWESI UTARA,70.16,74.04,
BOLAANG MONGONDOW,67.72,71.68,
Bolaang Mongondow,67.72,71.68,
MINAHASA,69.42,73.37,
Minahasa,69.42,73.37,
KEPULAUAN SANGIHE,68.42,72.4,
Kepulauan Sangihe,68.42,72.4,
KEPULAUAN TALAUD,68.5,72.46,
Kepulauan Talaud,68.5,72.46,
MINAHASA SELATAN,68.22,72.27,
Minahasa Selatan,68.22,72.27,
MINAHASA UTARA,69.69,73.55,
